Gene,Coef
ARHGAP26,0
RCBTB2,0
NCOA1,0
CITED2,0
PI3,0
MAZ,0
RAPGEF2,0
TFDP1,0
NCKAP1L,0
MINK1,0
IER3,0
TOP1,0
ARHGAP25,0
IL1B,0
ARID1A,0
UBE2Q1,0
SMCO4,0
NXF1,0
TM9SF3,0
CDK5RAP2,0.00884875
MAP3K8,0
CAPRIN1,0
CUL4B,0
DSE,0
NDUFB1,0
PPFIA1,0
RHOB,0
CSGALNACT1,0.083151073
PRF1,0
FKBP11,0
ZDHHC17,0
PTP4A1,0
MRPL28,0
EZH1,0
IMPDH1,0
EZR,0
TCF7,-0.077767519
CTSD,0
ISG15,0
RNF38,0
IRF7,0
TSPYL1,0
GATAD2A,0
RREB1,0
SIPA1,0
TESC,0
TAB2,0
RNPEPL1,0
PPP2CB,0
SIK3,0
BCL3,0
PNP,0
ATF6,0.039322353
DUSP22,0.018478981
TRAFD1,0
PSMD1,0
TSNAX,0
TOP2B,0
RBM26,0
TOB1,0
ZFYVE16,0
PRKAR2A,0
SEL1L3,0
CCR2,0
SUMO3,0
DENND2D,0
TFRC,0
DNAJC13,0.078437709
ACLY,0
TBXAS1,0.025314396
TNKS2,0
LPXN,0
CARD8,0
MTHFD2,0
YWHAH,0.022684197
CUX1,0
CREBBP,0
NTAN1,0
CNOT1,0
OSBPL2,0
GSTP1,0
FAS,0
FIBP,0
GIMAP6,-0.019630217
ITGAL,0
TYMP,0
TUBB4B,0
PRDX1,0
NMRK1,0
CCDC69,0
CYLD,-0.035156639
AIM2,0
NCOA3,0
OPTN,0
CD81,-0.022107672
HNRNPUL1,0
CD9,0
PCNA,0
IFNAR2,0
CDKN2D,0
PRNP,0
TRADD,0
LPIN2,0
ZMIZ1,0
GNLY,0
CLIP1,0
AFTPH,0
TLK1,0
MACF1,0
NISCH,-0.032731616
TIPARP,0.047333635
SERPINB6,0
CAMP,0
UBE2M,0
GPR65,0
WDR45B,0
PDLIM1,0
HNRNPAB,0
HSDL2,0
OSBPL11,0
PSMA4,0
BAZ2B,0
IER5,0
CEP350,0
DPM1,0
ATP1B3,0
PDIA6,0
UBAC1,0
BCL2L1,0
PSTPIP2,0.02234553
GABARAPL1,0
TRIM33,-0.058852592
ARIH1,0
MEPCE,0
PTGER4,-0.020939595
SH3BP2,0
SMC1A,0
CTCF,0
DDIT4,0
UBR4,0
SLCO3A1,0
PSD4,0
IFI6,0
TWF2,0
LAIR1,0
CLEC2B,-0.059212746
ARPC5L,0
SLC12A9,0
IGFLR1,0
FYN,-0.004615276
ATP2B4,0
TLE3,0
XBP1,0
ANXA4,0
ABAT,0
SEC24A,0.001507376
MX1,0
UBE2K,0
CTR9,0
EXOC3,0
USP7,0
SCFD1,0.008968326
ACTN4,0
NDUFV2,0
ARAP1,0
PLCB2,0
DYNC1I2,0.023834021
LGALS9,0
PDLIM7,0
COLGALT1,0.009778406
ATP6V1D,0.033802938
ATP13A3,0
EIF2AK2,0
GAK,0
CDK19,0
DDAH2,0.040551341
NPLOC4,0
PTPN11,0
SEC16A,0
SLK,0
ODC1,0
SLC25A24,0
IFT20,0.010439141
TRIOBP,0
MRPL23,0
LARP1,0
SSH1,0
ORMDL2,0
POP4,0
SMAP1,0
RGCC,0
GZMB,0
TPM1,0.014467575
CDK2AP2,0
TBC1D2B,0
PDXK,0
PITPNA,0
SAMHD1,0
LIMD2,0
ASAP1,0
BRMS1,0
SERTAD2,0
DSTN,0
ITGA5,0
CERK,0
ABR,0
NFKB1,0
CALCOCO1,0
HAT1,0.033271417
SLTM,0
PBXIP1,-0.15566714
FOS,0
IL32,-0.07398872
NASP,0
MED13L,-0.019293479
TPR,0
HSPB1,0
PPIP5K2,0
NUP153,0
AMPD2,0
KIDINS220,0
